bebida,borda,ingrediente 1,ingrediente 2,ingrediente 3,ingrediente 4,ingrediente 5,massa,queijo 1,queijo 2
água com gás,borda tradicional,azeitona,tomate seco,cogumelos,presunto,bacon,massa final,mussarela,gorgonzola
cerveja,cheddar,pimentão,tomate,calabresa,azeite de oliva,alho,massa final,parmesão,catupiry
cerveja,sabor catupiry,calabresa,queijo coalho grelhado,bacon,cebolinha,alho-poró,massa final,mussarela,provolone
refrigerante,sabor catupiry,azeitona,tomate seco,NA,NA,NA,massa tradicional,mussarela,queijo brie
vinho tinto,sabor catupiry,alho,cebola,tomate,bacon,mel,massa tradicional,mussarela,queijo brie
refrigerante,borda tradicional,pepperoni,tomate,atum,milho,frango,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,presunto,NA,NA,NA,NA,massa tradicional,mussarela,NA
cerveja,sabor catupiry,pepperoni,pimenta calabresa,rúcula,bacon,orégano,massa final,mussarela,parmesão
refrigerante,borda tradicional,cebola,azeitona,orégano,tomate,bacon,massa tradicional,mussarela,parmesão
suco de maracujá,cheddar,azeitona,cebola,calabresa,alho-poró,orégano,massa tradicional,mussarela,catupiry
suco de uva,sabor catupiry,bacon,palmito,rúcula,tomate seco,azeite de oliva,massa tradicional,mussarela,gorgonzola
cerveja,cheddar,brócolis,pimentão,salsinha,queijo roquefort,grão de bico,massa tradicional,catupiry,gorgonzola
vinho tinto,cheddar,cogumelos,cebola,alho,atum,azeite de oliva,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,azeitona,brócolis,frango,orégano,tomate seco,massa final,mussarela,cheddar
suco de maracujá,sabor catupiry,cebola,cogumelos,brócolis,tomate,azeite de oliva,massa tradicional,gorgonzola,catupiry
suco de maracujá,cream cheese,brócolis,frango,cebola,alho-poró,tomate,massa tradicional,mussarela,parmesão
suco de laranja,borda tradicional,cogumelos,brócolis,tomate seco,NA,NA,massa final,mussarela,ricota
chá gelado,borda tradicional,pepperoni,cebola,cogumelos,NA,NA,massa tradicional,mussarela,gorgonzola
refrigerante,cheddar,cogumelos,cebola,calabresa,salsinha,palmito,massa tradicional,mussarela,gorgonzola
refrigerante,borda tradicional,azeitona,tomate,camarão,cebola,pepperoni,massa final,mussarela,parmesão
cerveja,sabor catupiry,cebola,milho,pepperoni,bacon,orégano,massa final,catupiry,mussarela
água com gás,sabor catupiry,bacon,atum,azeitona,palmito,alcaparra,massa final,catupiry,cheddar
cerveja,sabor catupiry,pepperoni,cogumelos,mel,alho,pimenta biquinho,massa tradicional,mussarela,queijo brie
limonada,cream cheese,alcaparra,cogumelos,cebola,brócolis,azeitona,massa tradicional,parmesão,gorgonzola
cerveja,borda tradicional,presunto,azeitona,cebola,calabresa,ovo,massa final,mussarela,cheddar
suco de laranja,cream cheese,carne seca,cebola,tomate,brócolis,pimentão,massa tradicional,parmesão,gorgonzola
refrigerante,sabor catupiry,cogumelos,palmito,brócolis,tomate seco,NA,massa tradicional,mussarela,parmesão
refrigerante,cheddar,linguiça,cebola,presunto,pepperoni,pimentão,massa grossa,mussarela,queijo coalho
chá gelado,sabor catupiry,cogumelos,alho,azeite de oliva,presunto,pimenta calabresa,massa tradicional,mussarela,parmesão
vinho tinto,cream cheese,alho,cebola,tomate,pepperoni,rúcula,massa tradicional,mussarela,queijo coalho
suco de laranja,sabor catupiry,cebola,orégano,azeitona,calabresa,carne seca,massa tradicional,mussarela,provolone
água com gás,borda tradicional,pepperoni,cebola,azeite de oliva,NA,NA,massa final,mussarela,gorgonzola
suco de laranja,borda tradicional,cogumelos,nozes,alho-poró,alho,mel,massa tradicional,queijo brie,mussarela
limonada,sabor catupiry,frango,presunto,camarão,carne moída,orégano,massa tradicional,catupiry,mussarela
suco de uva,borda tradicional,abobrinha,bacon,tomate,espinafre,tomate seco,massa final,mussarela,gorgonzola
refrigerante,sabor catupiry,frango,bacon,milho,NA,NA,massa tradicional,mussarela,NA
suco de abacaxi,borda tradicional,bacon,calabresa,cogumelos,palmito,milho,massa tradicional,mussarela,queijo coalho
refrigerante,cheddar,presunto,bacon,calabresa,milho,ovo,massa tradicional,mussarela,cheddar
limonada,sabor catupiry,tomate seco,cogumelos,rúcula,pepperoni,NA,massa tradicional,gorgonzola,mussarela
chá gelado,borda tradicional,azeitona,rúcula,bacon,milho,carne seca,massa integral,gorgonzola,provolone
limonada,sabor catupiry,rúcula,azeitona,tomate,calabresa,presunto,massa grossa,mussarela,parmesão
suco de laranja,sabor catupiry,pepperoni,bacon,tomate,alho,frango,massa tradicional,mussarela,catupiry
cerveja,borda tradicional,cogumelos,tomate,alcaparra,azeite de oliva,presunto,massa final,parmesão,mussarela
suco de laranja,borda tradicional,cogumelos,nozes,alho-poró,alho,mel,massa tradicional,queijo brie,mussarela
suco de laranja,borda tradicional,calabresa,carne seca,bacon,frango,cebola,massa final,mussarela,provolone
refrigerante,borda tradicional,pepperoni,cebola,bacon,alho,palmito,massa tradicional,mussarela,parmesão
cerveja,cheddar,calabresa,bacon,linguiça,carne moída,pimentão,massa tradicional,mussarela,cheddar
refrigerante,cheddar,azeitona,tomate,cebola,bacon,calabresa,massa tradicional,cheddar,parmesão
cerveja,cheddar,brócolis,queijo de cabra,frango,tomate,cogumelos,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,tomate,picles,milho,calabresa,cebola,massa tradicional,cheddar,parmesão
vinho tinto,borda tradicional,azeitona,tomate,orégano,NA,NA,massa tradicional,mussarela,gorgonzola
cerveja,cream cheese,alho,cogumelos,azeite de oliva,tomate,alho-poró,massa tradicional,mussarela,gorgonzola
refrigerante,sabor catupiry,pepperoni,cogumelos,tomate seco,bacon,atum,massa grossa,mussarela,gorgonzola
refrigerante,sabor catupiry,tomate,frango,cogumelos,azeitona,palmito,massa tradicional,catupiry,cheddar
suco de abacaxi,borda tradicional,cogumelos,presunto,pepperoni,alho,pimentão,massa tradicional,mussarela,mussarela
refrigerante,borda tradicional,tomate,azeite de oliva,orégano,azeitona,cebola,massa final,mussarela,queijo coalho
refrigerante,borda tradicional,cebola,calabresa,orégano,NA,NA,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,pêssego,cogumelos,bacon,anchova em conserva,NA,massa final,provolone,gorgonzola
água com gás,borda tradicional,cogumelos,cogumelos,mel,pepperoni,pepperoni,massa final,mussarela,queijo brie
refrigerante,cream cheese,pepperoni,cebola,orégano,tomate seco,azeitona,massa final,mussarela,provolone
cerveja,sabor catupiry,pepperoni,pimentão,bacon,linguiça,cebola,massa tradicional,queijo brie,cheddar
suco de laranja,cheddar,calabresa,bacon,queijo cheddar,orégano,frango,massa grossa,cheddar,NA
suco de laranja,cheddar,bacon,calabresa,azeitona,queijo cheddar,ervilha,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,carne seca,NA,NA,NA,NA,massa tradicional,NA,NA
limonada,sabor catupiry,cebola,tomate,azeitona,pimentão,azeite de oliva,massa tradicional,queijo brie,queijo coalho
cerveja,sabor catupiry,calabresa,bacon,frango,NA,NA,massa tradicional,mussarela,parmesão
suco de maracujá,borda tradicional,cebola,presunto,cogumelos,tomate,frango,massa final,mussarela,cheddar
suco de laranja,sabor catupiry,tomate,frango,pepperoni,cebola,azeitona,massa grossa,queijo brie,ricota
refrigerante,borda tradicional,pepperoni,tomate,cebola,pimentão,brócolis,massa tradicional,mussarela,cheddar
suco de maracujá,sabor catupiry,cebola,presunto,brócolis,pepperoni,carne seca,massa integral,mussarela,cheddar
suco de uva,cream cheese,cebola,alho,linguiça calabresa defumada,bacon,NA,massa final,mussarela,NA
refrigerante,sabor catupiry,cebola,tomate,bacon,carne seca,pepperoni,massa tradicional,cheddar,mussarela
refrigerante,borda tradicional,tomate,azeitona,picles,presunto,palmito,massa tradicional,mussarela,cheddar
água com gás,borda tradicional,azeitona,azeite de oliva,camarão,cebola caramelizada,rúcula,massa final,NA,NA
refrigerante,cream cheese,cogumelos,brócolis,alho,cebola,bacon,massa final,gorgonzola,parmesão
água com gás,sabor catupiry,bacon,tomate seco,atum,calabresa,queijo gouda,massa tradicional,catupiry,cheddar
suco de maracujá,borda tradicional,pepperoni,orégano,queijo coalho grelhado,azeite de oliva,bacon,massa grossa,mussarela,gorgonzola
refrigerante,cheddar,alho,alcaparra,azeite de oliva,rúcula,bacon,massa tradicional,cheddar,provolone
refrigerante,borda tradicional,pepperoni,frango,tomate,azeitona,alho,massa tradicional,mussarela,cheddar
refrigerante,sabor catupiry,tomate,azeitona,cogumelos,orégano,frango,massa tradicional,mussarela,catupiry
suco de laranja,cream cheese,bacon,milho,ovo,calabresa,frango,massa tradicional,mussarela,queijo coalho
vinho tinto,sabor catupiry,palmito,milho,brócolis,cogumelos,pepperoni,massa tradicional,queijo brie,mussarela
refrigerante,borda tradicional,pepperoni,cebola,alho,tomate,azeitona,massa final,mussarela,queijo brie
água com gás,cheddar,cogumelos,pepperoni,azeitona,palmito,bacon,massa grossa,gorgonzola,provolone
suco de laranja,sabor catupiry,bacon,orégano,calabresa,calabresa,queijo cheddar,massa final,mussarela,cheddar
refrigerante,sabor catupiry,presunto,tomate,calabresa,orégano,frango,massa tradicional,mussarela,queijo coalho
chá gelado,sabor catupiry,pepperoni,tomate,tomate seco,linguiça calabresa defumada,orégano,massa tradicional,mussarela,queijo brie
vinho tinto,borda tradicional,bacon,calabresa,alho,ovo,linguiça calabresa defumada,massa tradicional,mussarela,provolone
cerveja,borda tradicional,brócolis,alho,tofu,tomate,cebola,massa final,NA,NA
suco de laranja,borda tradicional,cogumelos,tomate,pimenta biquinho,carne seca,cebola,massa tradicional,queijo brie,parmesão
NA,borda tradicional,presunto,pepperoni,milho,ovo,salsinha,massa tradicional,parmesão,mussarela
refrigerante,cream cheese,tomate,azeitona,cebola,cogumelos,palmito,massa final,gorgonzola,mussarela
cerveja,borda tradicional,azeitona,cogumelos,tomate,cebola,brócolis,massa grossa,NA,NA
suco de abacaxi,sabor catupiry,azeitona,tomate,orégano,milho,NA,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,calabresa,alho,cebola,NA,NA,massa tradicional,mussarela,parmesão
suco de laranja,cream cheese,cebola,tomate,bacon,carne seca,frango,massa final,queijo coalho,mussarela
vinho tinto,borda tradicional,pepperoni,tomate,cebola,cogumelos,queijo gouda,massa final,gorgonzola,mussarela
cerveja,sabor catupiry,calabresa,pepperoni,alho,pimenta calabresa,azeite de oliva,massa tradicional,parmesão,catupiry
refrigerante,sabor catupiry,pimentão,tomate,milho,cebola,frango,massa final,mussarela,parmesão
refrigerante,cheddar,pepperoni,azeitona,alho,orégano,cebolinha,massa tradicional,catupiry,mussarela
vinho tinto,sabor catupiry,pepperoni,alho,orégano,pimenta calabresa,alho-poró,massa final,cheddar,catupiry
suco de abacaxi,cream cheese,pepperoni,cogumelos,cebola caramelizada,abacaxi,pimenta biquinho,massa grossa,mussarela,provolone
cerveja,borda tradicional,pepperoni,tomate,azeitona,cebola,cogumelos,massa final,mussarela,cheddar
refrigerante,borda tradicional,alho,carne seca,NA,salsinha,NA,massa final,NA,catupiry
vinho tinto,sabor catupiry,cogumelos,frango,NA,NA,NA,massa tradicional,catupiry,mussarela
refrigerante,sabor catupiry,pepperoni,azeitona,tomate,NA,NA,massa final,mussarela,NA
cerveja,borda tradicional,pepperoni,azeitona,bacon,orégano,carne seca,massa tradicional,mussarela,queijo coalho
suco de laranja,sabor catupiry,frango,orégano,NA,NA,NA,massa tradicional,mussarela,NA
suco de laranja,sabor catupiry,presunto,bacon,cebola,tomate,presunto,massa tradicional,mussarela,cheddar
refrigerante,sabor catupiry,azeitona,pepperoni,bacon,tomate,presunto,massa grossa,mussarela,parmesão
suco de abacaxi,cream cheese,tomate,pepperoni,cebola,azeitona,cogumelos,massa tradicional,mussarela,mussarela
cerveja,sabor catupiry,pepperoni,presunto,bacon,ovo,cogumelos,massa tradicional,mussarela,mussarela
refrigerante,borda tradicional,presunto,tomate,azeitona,milho,bacon,massa final,mussarela,parmesão
refrigerante,borda tradicional,tomate,calabresa,orégano,cebola,azeitona,massa tradicional,mussarela,provolone
refrigerante,sabor catupiry,azeitona,cebolinha,tomate,NA,orégano,massa tradicional,provolone,mussarela
chá gelado,borda tradicional,abobrinha,calabresa,NA,azeite de oliva,espinafre,massa tradicional,mussarela,ricota
refrigerante,sabor catupiry,carne seca,cebola,pimentão,bacon,tomate,massa final,mussarela,catupiry
suco de uva,sabor catupiry,bacon,linguiça calabresa defumada,presunto,frango,queijo cheddar,massa grossa,mussarela,provolone
cerveja,borda tradicional,rúcula,cogumelos,ovo,tomate,pepperoni,massa tradicional,mussarela,gorgonzola
refrigerante,cheddar,pepperoni,tomate,rúcula,presunto,azeitona,massa final,mussarela,catupiry
cerveja,sabor catupiry,azeitona,tomate,pepperoni,cebolinha,carne seca,massa tradicional,queijo brie,ricota
limonada,cheddar,brócolis,calabresa,bacon,cebola,cogumelos,massa final,cheddar,mussarela
água com gás,cheddar,calabresa,bacon,tomate,orégano,queijo coalho grelhado,massa final,mussarela,catupiry
suco de abacaxi,borda tradicional,queijo gouda,milho,cebola caramelizada,frango,queijo coalho grelhado,massa tradicional,mussarela,provolone
água com gás,sabor catupiry,calabresa,cebolinha,tomate,orégano,azeite de oliva,massa tradicional,mussarela,NA
refrigerante,sabor catupiry,milho,presunto,bacon,calabresa,orégano,massa final,mussarela,provolone
refrigerante,sabor catupiry,presunto,tomate,ovo,calabresa,bacon,massa tradicional,provolone,mussarela
refrigerante,sabor catupiry,calabresa,queijo coalho grelhado,cebola,NA,NA,massa grossa,mussarela,NA
limonada,borda tradicional,cogumelos,alho,anchova,pimenta biquinho,cogumelos,massa tradicional,catupiry,ricota
refrigerante,sabor catupiry,cogumelos,frango,calabresa,pimentão,milho,massa tradicional,mussarela,catupiry
água com gás,sabor catupiry,cogumelos,bacon,palmito,frango,orégano,massa final,mussarela,cheddar
vinho tinto,cheddar,bacon,milho,azeitona,alho,calabresa,massa final,mussarela,gorgonzola
refrigerante,sabor catupiry,calabresa,pepperoni,bacon,NA,NA,massa tradicional,cheddar,mussarela
cerveja,cream cheese,cebola,alho-poró,carne seca,tomate,azeite de oliva,massa tradicional,gorgonzola,parmesão
vinho tinto,borda tradicional,cogumelos,tomate,pimentão,brócolis,NA,massa final,provolone,gorgonzola
cerveja,borda tradicional,pimentão,pepperoni,cebola caramelizada,alho,azeitona,massa final,provolone,parmesão
refrigerante,cheddar,alho,cebola,frango,presunto,salsinha,massa grossa,cheddar,catupiry
refrigerante,borda tradicional,azeite de oliva,bacon,frango,milho,NA,massa final,mussarela,provolone
limonada,borda tradicional,calabresa,tomate,cebola,azeitona,alho,massa tradicional,catupiry,cheddar
limonada,cream cheese,pepperoni,azeite de oliva,tomate,cebola,queijo coalho grelhado,massa tradicional,provolone,mussarela
refrigerante,cheddar,presunto,bacon,linguiça,alcaparra,ovo,massa tradicional,catupiry,mussarela
cerveja,sabor catupiry,grão de bico,cebola,espinafre,linguiça calabresa defumada,pimentão assado,massa tradicional,mussarela,cheddar
vinho tinto,sabor catupiry,pepperoni,abacaxi,tomate,alho,azeitona,massa tradicional,mussarela,provolone
suco de laranja,cheddar,camarão,queijo de cabra,presunto,orégano,NA,massa tradicional,catupiry,parmesão
cerveja,borda tradicional,brócolis,bacon,ovo,tomate,ervilha,massa tradicional,mussarela,parmesão
cerveja,borda tradicional,alho,tomate,alho-poró,cebola,alcaparra,massa integral,queijo brie,mussarela
refrigerante,sabor catupiry,carne seca,cogumelos,bacon,tomate seco,frango,massa final,gorgonzola,mussarela
vinho tinto,sabor catupiry,pepperoni,tomate,alcaparra,bacon,frango,massa final,mussarela,parmesão
refrigerante,cream cheese,bacon,queijo gouda,ovo,cebola,pimenta calabresa,massa grossa,mussarela,queijo brie
suco de laranja,sabor catupiry,azeitona,bacon,frango,picles,alho,massa tradicional,cheddar,catupiry
cerveja,cream cheese,azeite de oliva,pimentão,tomate,camarão,rúcula,massa final,gorgonzola,provolone
refrigerante,sabor catupiry,bacon,alho,linguiça,calabresa,queijo cheddar,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,cebola,presunto,calabresa,carne seca,ovo,massa tradicional,mussarela,NA
suco de abacaxi,cheddar,carne seca,cebola,bacon,linguiça,salsinha,massa tradicional,mussarela,NA
suco de laranja,borda tradicional,bacon,azeite de oliva,tomate,pepperoni,orégano,massa tradicional,provolone,mussarela
cerveja,sabor catupiry,brócolis,alho,cogumelos,tomate,milho,massa final,mussarela,catupiry
cerveja,sabor catupiry,cogumelos,tomate,azeitona,pepperoni,alcaparra,massa tradicional,parmesão,mussarela
cerveja,sabor catupiry,frango,calabresa,tomate,palmito,NA,massa tradicional,cheddar,catupiry
água com gás,sabor catupiry,cogumelos,espinafre,azeite de oliva,NA,NA,massa final,mussarela,queijo feta
cerveja,cream cheese,cebola,tomate,calabresa,pepperoni,bacon,massa tradicional,gorgonzola,mussarela
cerveja,borda tradicional,azeitona,bacon,calabresa,tomate,milho,massa tradicional,mussarela,gorgonzola
água com gás,cheddar,linguiça calabresa defumada,cebola,linguiça,calabresa,ovo,massa tradicional,gorgonzola,provolone
refrigerante,cream cheese,pimentão,carne seca,cogumelos,pimenta calabresa,orégano,massa final,mussarela,provolone
cerveja,sabor catupiry,tomate,alho-poró,cogumelos,azeitona,NA,massa tradicional,mussarela,gorgonzola
cerveja,borda tradicional,tomate,pimentão,atum,cogumelos,cebolinha,massa final,mussarela,gorgonzola
NA,sabor catupiry,pepperoni,cogumelos,tomate,cebola,alcaparra,massa tradicional,mussarela,queijo brie
refrigerante,cream cheese,cebola,alho,bacon,milho,calabresa,massa tradicional,mussarela,parmesão
suco de laranja,cheddar,pepperoni,cebola,tomate,azeitona,bacon,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,presunto,frango,cebola,pimentão,bacon,massa tradicional,catupiry,cheddar
suco de maracujá,borda tradicional,pepperoni,cogumelos,azeite de oliva,tomate,NA,massa final,mussarela,parmesão
refrigerante,sabor catupiry,alho,cogumelos,tomate seco,pepperoni,azeitona,massa tradicional,mussarela,parmesão
cerveja,sabor catupiry,bacon,cogumelos,brócolis,azeitona,alho,massa final,provolone,mussarela
cerveja,borda tradicional,bacon,milho,ovo,queijo cheddar,pepperoni,massa final,provolone,ricota
limonada,borda tradicional,pepperoni,azeitona,bacon,NA,NA,massa grossa,queijo coalho,parmesão
refrigerante,sabor catupiry,tomate,azeitona,beterraba,brócolis,bacon,massa tradicional,mussarela,provolone
chá gelado,borda tradicional,carne moída,cebola,cogumelos,bacon,tomate,massa grossa,gorgonzola,cheddar
chá gelado,borda tradicional,pepperoni,orégano,calabresa,cebola,cogumelos,massa tradicional,mussarela,parmesão
chá gelado,sabor catupiry,cogumelos,brócolis,palmito,bacon,milho,massa grossa,NA,catupiry
refrigerante,sabor catupiry,cogumelos,bacon,nozes,cebola caramelizada,NA,massa tradicional,parmesão,cheddar
limonada,borda tradicional,pepperoni,cebolinha,pimenta calabresa,tomate,alcaparra,massa final,mussarela,gorgonzola
água com gás,borda tradicional,tomate,alho,NA,NA,NA,massa tradicional,NA,NA
refrigerante,borda tradicional,tomate,pepperoni,calabresa,orégano,NA,massa final,provolone,gorgonzola
suco de laranja,cream cheese,frango,ovo,azeitona,bacon,carne moída,massa tradicional,mussarela,catupiry
vinho tinto,borda tradicional,tomate,azeitona,pepperoni,brócolis,camarão,massa tradicional,mussarela,provolone
suco de abacaxi,cream cheese,pepperoni,alho-poró,carne seca,brócolis,palmito,massa tradicional,provolone,mussarela
refrigerante,borda tradicional,carne seca,alho,brócolis,tomate seco,pimenta biquinho,massa final,catupiry,parmesão
refrigerante,cream cheese,calabresa,queijo cheddar,orégano,NA,NA,massa tradicional,mussarela,NA
limonada,borda tradicional,carne seca,cogumelos,frango,bacon,pepperoni,massa tradicional,mussarela,parmesão
limonada,cream cheese,frango,pepperoni,cebolinha,pimentão,alho-poró,massa tradicional,cheddar,parmesão
suco de laranja,borda tradicional,frango,calabresa,bacon,carne moída,presunto,massa final,mussarela,parmesão
refrigerante,borda tradicional,calabresa,frango,bacon,camarão,atum,massa tradicional,NA,NA
água com gás,sabor catupiry,presunto,tomate,azeitona,cebola caramelizada,queijo cheddar,massa tradicional,mussarela,provolone
suco de laranja,sabor catupiry,bacon,frango,ovo,calabresa,NA,massa final,mussarela,NA
cerveja,borda tradicional,tomate,pepperoni,cebolinha,cebola caramelizada,azeitona,massa tradicional,mussarela,provolone
suco de uva,cheddar,pepperoni,calabresa,cogumelos,azeitona,orégano,massa tradicional,parmesão,provolone
refrigerante,sabor catupiry,frango,azeitona,tomate,cebola,NA,massa tradicional,mussarela,catupiry
suco de laranja,borda tradicional,calabresa,cebola,linguiça calabresa defumada,ovo,queijo cheddar,massa tradicional,mussarela,parmesão
refrigerante,cream cheese,bacon,pepperoni,pimenta biquinho,tomate seco,linguiça calabresa defumada,massa tradicional,mussarela,NA
