"","bebida","borda","ingrediente 1","ingrediente 2","ingrediente 3","ingrediente 4","ingrediente 5","massa","queijo 1","queijo 2"
"973","cerveja","cream cheese","brócolis","calabresa","bacon","alho","tomate","massa tradicional","mussarela","catupiry"
"974","suco de laranja","sabor catupiry","milho","pimentão assado","atum","tomate seco","azeitona","massa final","mussarela","catupiry"
"975","refrigerante","sabor catupiry","presunto","tomate","orégano","camarão","azeitona","massa tradicional","cheddar","queijo coalho"
"976","refrigerante","cheddar","linguiça calabresa defumada","azeitona","bacon","ovo","pimenta calabresa","massa final","mussarela","parmesão"
"977","refrigerante","borda tradicional","pepperoni","tomate","alho",NA,NA,"massa tradicional","mussarela",NA
"978","cerveja","sabor catupiry","bacon","azeitona","pepperoni","cogumelos","orégano","massa final","gorgonzola","queijo brie"
"979","refrigerante","sabor catupiry","bacon","presunto","calabresa","cebola","ovo","massa tradicional","catupiry","mussarela"
"980","água com gás","borda tradicional","cogumelos","pepperoni","alho","azeitona","cebola","massa grossa","gorgonzola","mussarela"
"981","refrigerante","borda tradicional","cogumelos","calabresa","palmito","alho","bacon","massa final","mussarela","parmesão"
"982","refrigerante","borda tradicional","tomate","alho","milho","calabresa","cebolinha","massa final","mussarela","parmesão"
"983","cerveja","borda tradicional","azeitona","tomate","cogumelos","abobrinha","orégano","massa tradicional","mussarela","catupiry"
"984","refrigerante","borda tradicional","pimentão","camarão","azeitona","frango","queijo coalho grelhado","massa tradicional","mussarela","parmesão"
"985","vinho tinto","borda tradicional","rúcula","cebola caramelizada","tomate seco","bacon","alho-poró","massa tradicional","mussarela","parmesão"
"986","refrigerante","borda tradicional","tomate","calabresa","anchova","pepperoni","ovo","massa tradicional","mussarela","catupiry"
"987","cerveja","sabor catupiry","pepperoni","cebola","cebola","bacon","palmito","massa grossa","parmesão","queijo brie"
"988","cerveja","borda tradicional","bacon","alho","alho","carne moída","berinjela","massa tradicional","provolone","mussarela"
"989","refrigerante","sabor catupiry","bacon","queijo gouda","azeitona","calabresa","frango","massa tradicional","mussarela","mussarela"
"990","vinho tinto","cream cheese","camarão","alho-poró","carne seca","cebolinha","azeite de oliva","massa final","mussarela","catupiry"
"991","limonada","sabor catupiry","pepperoni","carne seca","azeite de oliva","queijo roquefort","rúcula","massa integral","mussarela","parmesão"
"992","suco de laranja","cheddar","calabresa","tomate","presunto","ovo","abacaxi","massa tradicional","mussarela","catupiry"
"993","limonada","cream cheese","cebola","pepperoni","pimentão","tomate","bacon","massa tradicional","parmesão","provolone"
"994","limonada","borda tradicional","alho","pepperoni",NA,NA,NA,"massa grossa","mussarela",NA
"995","suco de laranja","borda tradicional","presunto","cebola","azeitona","tomate","linguiça calabresa defumada","massa tradicional","parmesão","mussarela"
"996","suco de laranja","sabor catupiry","pepperoni","carne moída","tomate","cebola","frango","massa tradicional","mussarela","parmesão"
"997","suco de laranja","borda tradicional","presunto","calabresa","bacon","cebola caramelizada","orégano","massa tradicional","mussarela","catupiry"
"998","água com gás","sabor catupiry","tomate","cebola","pepperoni","alcaparra","alho-poró","massa tradicional","gorgonzola","parmesão"
"999","limonada","cream cheese","frango","carne seca","alho-poró","milho","bacon","massa final","parmesão","mussarela"
