"","bebida","borda","ingrediente 1","ingrediente 2","ingrediente 3","ingrediente 4","ingrediente 5","massa","queijo 1","queijo 2"
"46","suco de abacaxi","cheddar","alho","cogumelos","pimentão","azeitona","pepperoni","massa tradicional","gorgonzola","cheddar"
"47","refrigerante","cream cheese","presunto","calabresa","frango","bacon","tomate","massa tradicional","mussarela","cheddar"
"48","suco de laranja","sabor catupiry","bacon","alho","cogumelos","pimenta calabresa","queijo cheddar","massa grossa","mussarela","queijo brie"
"49","cerveja","sabor catupiry","bacon","frango","calabresa","calabresa","tomate seco","massa tradicional","provolone","gorgonzola"
"50","suco de laranja","sabor catupiry","frango","bacon","cebola caramelizada","pimenta calabresa","azeitona","massa tradicional","mussarela","gorgonzola"
"51","vinho tinto","borda tradicional","nozes","cebola","alho","amêndoas",NA,"massa tradicional","mussarela","provolone"
"52","suco de abacaxi","sabor catupiry","presunto","carne seca","azeitona","palmito","bacon","massa tradicional","mussarela","ricota"
"53","suco de laranja","borda tradicional","tomate","bacon","frango","calabresa","ovo","massa tradicional","parmesão","mussarela"
"54","refrigerante","cream cheese","presunto","tomate","azeitona","bacon","amêndoas","massa tradicional","mussarela","catupiry"
"55","refrigerante","borda tradicional","pepperoni","tomate","rúcula","azeitona","queijo cheddar","massa tradicional","mussarela","parmesão"
"56","vinho tinto","borda tradicional","tomate","bacon","cebola","azeitona","azeite de oliva","massa tradicional","mussarela","gorgonzola"
"57","refrigerante","sabor catupiry","queijo de cabra","pepperoni","orégano","pepperoni","queijo roquefort","massa tradicional","gorgonzola","cheddar"
"58","suco de laranja","borda tradicional","abacaxi","azeitona","presunto","tomate","frango","massa tradicional","mussarela","catupiry"
"59","refrigerante","sabor catupiry","presunto","tomate","azeitona","orégano","alho","massa tradicional","mussarela","catupiry"
"60","suco de abacaxi","cheddar","cogumelos","azeitona","abacaxi","alho-poró","cebola caramelizada","massa integral","queijo brie","parmesão"
"61","refrigerante","borda tradicional","pepperoni","bacon","frango","linguiça calabresa defumada",NA,"massa tradicional","mussarela","mussarela"
"62","água com gás","borda tradicional","azeitona","tomate seco","cogumelos","presunto","bacon","massa final","mussarela","gorgonzola"
"63","cerveja","cheddar","pimentão","tomate","calabresa","azeite de oliva","alho","massa final","parmesão","catupiry"
"64","cerveja","sabor catupiry","calabresa","queijo coalho grelhado","bacon","cebolinha","alho-poró","massa final","mussarela","provolone"
"65","refrigerante","sabor catupiry","azeitona","tomate seco",NA,NA,NA,"massa tradicional","mussarela","queijo brie"
"66","vinho tinto","sabor catupiry","alho","cebola","tomate","bacon","mel","massa tradicional","mussarela","queijo brie"
"67","refrigerante","borda tradicional","pepperoni","tomate","atum","milho","frango","massa tradicional","mussarela","parmesão"
"68","refrigerante","borda tradicional","presunto",NA,NA,NA,NA,"massa tradicional","mussarela",NA
"69","cerveja","sabor catupiry","pepperoni","pimenta calabresa","rúcula","bacon","orégano","massa final","mussarela","parmesão"
"70","refrigerante","borda tradicional","cebola","azeitona","orégano","tomate","bacon","massa tradicional","mussarela","parmesão"
"71","suco de maracujá","cheddar","azeitona","cebola","calabresa","alho-poró","orégano","massa tradicional","mussarela","catupiry"
"72","suco de uva","sabor catupiry","bacon","palmito","rúcula","tomate seco","azeite de oliva","massa tradicional","mussarela","gorgonzola"
"73","cerveja","cheddar","brócolis","pimentão","salsinha","queijo roquefort","grão de bico","massa tradicional","catupiry","gorgonzola"
"74","vinho tinto","cheddar","cogumelos","cebola","alho","atum","azeite de oliva","massa tradicional","mussarela","catupiry"
"75","refrigerante","sabor catupiry","azeitona","brócolis","frango","orégano","tomate seco","massa final","mussarela","cheddar"
"76","suco de maracujá","sabor catupiry","cebola","cogumelos","brócolis","tomate","azeite de oliva","massa tradicional","gorgonzola","catupiry"
"77","suco de maracujá","cream cheese","brócolis","frango","cebola","alho-poró","tomate","massa tradicional","mussarela","parmesão"
"78","suco de laranja","borda tradicional","cogumelos","brócolis","tomate seco",NA,NA,"massa final","mussarela","ricota"
"79","chá gelado","borda tradicional","pepperoni","cebola","cogumelos",NA,NA,"massa tradicional","mussarela","gorgonzola"
"80","refrigerante","cheddar","cogumelos","cebola","calabresa","salsinha","palmito","massa tradicional","mussarela","gorgonzola"
"81","refrigerante","borda tradicional","azeitona","tomate","camarão","cebola","pepperoni","massa final","mussarela","parmesão"
"82","cerveja","sabor catupiry","cebola","milho","pepperoni","bacon","orégano","massa final","catupiry","mussarela"
"83","água com gás","sabor catupiry","bacon","atum","azeitona","palmito","alcaparra","massa final","catupiry","cheddar"
"84","cerveja","sabor catupiry","pepperoni","cogumelos","mel","alho","pimenta biquinho","massa tradicional","mussarela","queijo brie"
"85","limonada","cream cheese","alcaparra","cogumelos","cebola","brócolis","azeitona","massa tradicional","parmesão","gorgonzola"
"86","cerveja","borda tradicional","presunto","azeitona","cebola","calabresa","ovo","massa final","mussarela","cheddar"
"87","suco de laranja","cream cheese","carne seca","cebola","tomate","brócolis","pimentão","massa tradicional","parmesão","gorgonzola"
"88","refrigerante","sabor catupiry","cogumelos","palmito","brócolis","tomate seco",NA,"massa tradicional","mussarela","parmesão"
"89","refrigerante","cheddar","linguiça","cebola","presunto","pepperoni","pimentão","massa grossa","mussarela","queijo coalho"
"90","chá gelado","sabor catupiry","cogumelos","alho","azeite de oliva","presunto","pimenta calabresa","massa tradicional","mussarela","parmesão"
"91","vinho tinto","cream cheese","alho","cebola","tomate","pepperoni","rúcula","massa tradicional","mussarela","queijo coalho"
"92","suco de laranja","sabor catupiry","cebola","orégano","azeitona","calabresa","carne seca","massa tradicional","mussarela","provolone"
"93","água com gás","borda tradicional","pepperoni","cebola","azeite de oliva",NA,NA,"massa final","mussarela","gorgonzola"
"94","suco de laranja","borda tradicional","cogumelos","nozes","alho-poró","alho","mel","massa tradicional","queijo brie","mussarela"
"95","limonada","sabor catupiry","frango","presunto","camarão","carne moída","orégano","massa tradicional","catupiry","mussarela"
"96","suco de uva","borda tradicional","abobrinha","bacon","tomate","espinafre","tomate seco","massa final","mussarela","gorgonzola"
"97","refrigerante","sabor catupiry","frango","bacon","milho",NA,NA,"massa tradicional","mussarela",NA
"98","suco de abacaxi","borda tradicional","bacon","calabresa","cogumelos","palmito","milho","massa tradicional","mussarela","queijo coalho"
"99","refrigerante","cheddar","presunto","bacon","calabresa","milho","ovo","massa tradicional","mussarela","cheddar"
"100","limonada","sabor catupiry","tomate seco","cogumelos","rúcula","pepperoni",NA,"massa tradicional","gorgonzola","mussarela"
"101","chá gelado","borda tradicional","azeitona","rúcula","bacon","milho","carne seca","massa integral","gorgonzola","provolone"
"102","limonada","sabor catupiry","rúcula","azeitona","tomate","calabresa","presunto","massa grossa","mussarela","parmesão"
"103","suco de laranja","sabor catupiry","pepperoni","bacon","tomate","alho","frango","massa tradicional","mussarela","catupiry"
"104","cerveja","borda tradicional","cogumelos","tomate","alcaparra","azeite de oliva","presunto","massa final","parmesão","mussarela"
"105","suco de laranja","borda tradicional","cogumelos","nozes","alho-poró","alho","mel","massa tradicional","queijo brie","mussarela"
"106","suco de laranja","borda tradicional","calabresa","carne seca","bacon","frango","cebola","massa final","mussarela","provolone"
"107","refrigerante","borda tradicional","pepperoni","cebola","bacon","alho","palmito","massa tradicional","mussarela","parmesão"
"108","cerveja","cheddar","calabresa","bacon","linguiça","carne moída","pimentão","massa tradicional","mussarela","cheddar"
"109","refrigerante","cheddar","azeitona","tomate","cebola","bacon","calabresa","massa tradicional","cheddar","parmesão"
"110","cerveja","cheddar","brócolis","queijo de cabra","frango","tomate","cogumelos","massa tradicional","mussarela","parmesão"
"111","refrigerante","sabor catupiry","tomate","picles","milho","calabresa","cebola","massa tradicional","cheddar","parmesão"
"112","vinho tinto","borda tradicional","azeitona","tomate","orégano",NA,NA,"massa tradicional","mussarela","gorgonzola"
"113","cerveja","cream cheese","alho","cogumelos","azeite de oliva","tomate","alho-poró","massa tradicional","mussarela","gorgonzola"
"114","refrigerante","sabor catupiry","pepperoni","cogumelos","tomate seco","bacon","atum","massa grossa","mussarela","gorgonzola"
"115","refrigerante","sabor catupiry","tomate","frango","cogumelos","azeitona","palmito","massa tradicional","catupiry","cheddar"
"116","suco de abacaxi","borda tradicional","cogumelos","presunto","pepperoni","alho","pimentão","massa tradicional","mussarela","mussarela"
"117","refrigerante","borda tradicional","tomate","azeite de oliva","orégano","azeitona","cebola","massa final","mussarela","queijo coalho"
"118","refrigerante","borda tradicional","cebola","calabresa","orégano",NA,NA,"massa tradicional","mussarela","parmesão"
"119","vinho tinto","borda tradicional","pêssego","cogumelos","bacon","anchova em conserva",NA,"massa final","provolone","gorgonzola"
"120","água com gás","borda tradicional","cogumelos","cogumelos","mel","pepperoni","pepperoni","massa final","mussarela","queijo brie"
"121","refrigerante","cream cheese","pepperoni","cebola","orégano","tomate seco","azeitona","massa final","mussarela","provolone"
"122","cerveja","sabor catupiry","pepperoni","pimentão","bacon","linguiça","cebola","massa tradicional","queijo brie","cheddar"
"123","suco de laranja","cheddar","calabresa","bacon","queijo cheddar","orégano","frango","massa grossa","cheddar",NA
"124","suco de laranja","cheddar","bacon","calabresa","azeitona","queijo cheddar","ervilha","massa tradicional","mussarela","parmesão"
"125","vinho tinto","borda tradicional","carne seca",NA,NA,NA,NA,"massa tradicional",NA,NA
"126","limonada","sabor catupiry","cebola","tomate","azeitona","pimentão","azeite de oliva","massa tradicional","queijo brie","queijo coalho"
"127","cerveja","sabor catupiry","calabresa","bacon","frango",NA,NA,"massa tradicional","mussarela","parmesão"
"128","suco de maracujá","borda tradicional","cebola","presunto","cogumelos","tomate","frango","massa final","mussarela","cheddar"
"129","suco de laranja","sabor catupiry","tomate","frango","pepperoni","cebola","azeitona","massa grossa","queijo brie","ricota"
"130","refrigerante","borda tradicional","pepperoni","tomate","cebola","pimentão","brócolis","massa tradicional","mussarela","cheddar"
"131","suco de maracujá","sabor catupiry","cebola","presunto","brócolis","pepperoni","carne seca","massa integral","mussarela","cheddar"
"132","suco de uva","cream cheese","cebola","alho","linguiça calabresa defumada","bacon",NA,"massa final","mussarela",NA
"133","refrigerante","sabor catupiry","cebola","tomate","bacon","carne seca","pepperoni","massa tradicional","cheddar","mussarela"
"134","refrigerante","borda tradicional","tomate","azeitona","picles","presunto","palmito","massa tradicional","mussarela","cheddar"
"135","água com gás","borda tradicional","azeitona","azeite de oliva","camarão","cebola caramelizada","rúcula","massa final",NA,NA
"136","refrigerante","cream cheese","cogumelos","brócolis","alho","cebola","bacon","massa final","gorgonzola","parmesão"
"137","água com gás","sabor catupiry","bacon","tomate seco","atum","calabresa","queijo gouda","massa tradicional","catupiry","cheddar"
"138","suco de maracujá","borda tradicional","pepperoni","orégano","queijo coalho grelhado","azeite de oliva","bacon","massa grossa","mussarela","gorgonzola"
"139","refrigerante","cheddar","alho","alcaparra","azeite de oliva","rúcula","bacon","massa tradicional","cheddar","provolone"
"140","refrigerante","borda tradicional","pepperoni","frango","tomate","azeitona","alho","massa tradicional","mussarela","cheddar"
"141","refrigerante","sabor catupiry","tomate","azeitona","cogumelos","orégano","frango","massa tradicional","mussarela","catupiry"
"142","suco de laranja","cream cheese","bacon","milho","ovo","calabresa","frango","massa tradicional","mussarela","queijo coalho"
"143","vinho tinto","sabor catupiry","palmito","milho","brócolis","cogumelos","pepperoni","massa tradicional","queijo brie","mussarela"
"144","refrigerante","borda tradicional","pepperoni","cebola","alho","tomate","azeitona","massa final","mussarela","queijo brie"
"145","água com gás","cheddar","cogumelos","pepperoni","azeitona","palmito","bacon","massa grossa","gorgonzola","provolone"
"146","suco de laranja","sabor catupiry","bacon","orégano","calabresa","calabresa","queijo cheddar","massa final","mussarela","cheddar"
"147","refrigerante","sabor catupiry","presunto","tomate","calabresa","orégano","frango","massa tradicional","mussarela","queijo coalho"
"148","chá gelado","sabor catupiry","pepperoni","tomate","tomate seco","linguiça calabresa defumada","orégano","massa tradicional","mussarela","queijo brie"
"149","vinho tinto","borda tradicional","bacon","calabresa","alho","ovo","linguiça calabresa defumada","massa tradicional","mussarela","provolone"
"150","cerveja","borda tradicional","brócolis","alho","tofu","tomate","cebola","massa final",NA,NA
"151","suco de laranja","borda tradicional","cogumelos","tomate","pimenta biquinho","carne seca","cebola","massa tradicional","queijo brie","parmesão"
"152",NA,"borda tradicional","presunto","pepperoni","milho","ovo","salsinha","massa tradicional","parmesão","mussarela"
"153","refrigerante","cream cheese","tomate","azeitona","cebola","cogumelos","palmito","massa final","gorgonzola","mussarela"
"154","cerveja","borda tradicional","azeitona","cogumelos","tomate","cebola","brócolis","massa grossa",NA,NA
"155","suco de abacaxi","sabor catupiry","azeitona","tomate","orégano","milho",NA,"massa tradicional","mussarela","parmesão"
"156","refrigerante","borda tradicional","calabresa","alho","cebola",NA,NA,"massa tradicional","mussarela","parmesão"
"157","suco de laranja","cream cheese","cebola","tomate","bacon","carne seca","frango","massa final","queijo coalho","mussarela"
"158","vinho tinto","borda tradicional","pepperoni","tomate","cebola","cogumelos","queijo gouda","massa final","gorgonzola","mussarela"
"159","cerveja","sabor catupiry","calabresa","pepperoni","alho","pimenta calabresa","azeite de oliva","massa tradicional","parmesão","catupiry"
"160","refrigerante","sabor catupiry","pimentão","tomate","milho","cebola","frango","massa final","mussarela","parmesão"
"161","refrigerante","cheddar","pepperoni","azeitona","alho","orégano","cebolinha","massa tradicional","catupiry","mussarela"
"162","vinho tinto","sabor catupiry","pepperoni","alho","orégano","pimenta calabresa","alho-poró","massa final","cheddar","catupiry"
"163","suco de abacaxi","cream cheese","pepperoni","cogumelos","cebola caramelizada","abacaxi","pimenta biquinho","massa grossa","mussarela","provolone"
"164","cerveja","borda tradicional","pepperoni","tomate","azeitona","cebola","cogumelos","massa final","mussarela","cheddar"
"165","refrigerante","borda tradicional","alho","carne seca",NA,"salsinha",NA,"massa final",NA,"catupiry"
"166","vinho tinto","sabor catupiry","cogumelos","frango",NA,NA,NA,"massa tradicional","catupiry","mussarela"
"167","refrigerante","sabor catupiry","pepperoni","azeitona","tomate",NA,NA,"massa final","mussarela",NA
"168","cerveja","borda tradicional","pepperoni","azeitona","bacon","orégano","carne seca","massa tradicional","mussarela","queijo coalho"
"169","suco de laranja","sabor catupiry","frango","orégano",NA,NA,NA,"massa tradicional","mussarela",NA
"170","suco de laranja","sabor catupiry","presunto","bacon","cebola","tomate","presunto","massa tradicional","mussarela","cheddar"
"171","refrigerante","sabor catupiry","azeitona","pepperoni","bacon","tomate","presunto","massa grossa","mussarela","parmesão"
"172","suco de abacaxi","cream cheese","tomate","pepperoni","cebola","azeitona","cogumelos","massa tradicional","mussarela","mussarela"
"173","cerveja","sabor catupiry","pepperoni","presunto","bacon","ovo","cogumelos","massa tradicional","mussarela","mussarela"
"174","refrigerante","borda tradicional","presunto","tomate","azeitona","milho","bacon","massa final","mussarela","parmesão"
"175","refrigerante","borda tradicional","tomate","calabresa","orégano","cebola","azeitona","massa tradicional","mussarela","provolone"
"176","refrigerante","sabor catupiry","azeitona","cebolinha","tomate",NA,"orégano","massa tradicional","provolone","mussarela"
"177","chá gelado","borda tradicional","abobrinha","calabresa",NA,"azeite de oliva","espinafre","massa tradicional","mussarela","ricota"
"178","refrigerante","sabor catupiry","carne seca","cebola","pimentão","bacon","tomate","massa final","mussarela","catupiry"
"179","suco de uva","sabor catupiry","bacon","linguiça calabresa defumada","presunto","frango","queijo cheddar","massa grossa","mussarela","provolone"
"180","cerveja","borda tradicional","rúcula","cogumelos","ovo","tomate","pepperoni","massa tradicional","mussarela","gorgonzola"
"181","refrigerante","cheddar","pepperoni","tomate","rúcula","presunto","azeitona","massa final","mussarela","catupiry"
"182","cerveja","sabor catupiry","azeitona","tomate","pepperoni","cebolinha","carne seca","massa tradicional","queijo brie","ricota"
"183","limonada","cheddar","brócolis","calabresa","bacon","cebola","cogumelos","massa final","cheddar","mussarela"
"184","água com gás","cheddar","calabresa","bacon","tomate","orégano","queijo coalho grelhado","massa final","mussarela","catupiry"
"185","suco de abacaxi","borda tradicional","queijo gouda","milho","cebola caramelizada","frango","queijo coalho grelhado","massa tradicional","mussarela","provolone"
"186","água com gás","sabor catupiry","calabresa","cebolinha","tomate","orégano","azeite de oliva","massa tradicional","mussarela",NA
"187","refrigerante","sabor catupiry","milho","presunto","bacon","calabresa","orégano","massa final","mussarela","provolone"
"188","refrigerante","sabor catupiry","presunto","tomate","ovo","calabresa","bacon","massa tradicional","provolone","mussarela"
"189","refrigerante","sabor catupiry","calabresa","queijo coalho grelhado","cebola",NA,NA,"massa grossa","mussarela",NA
"190","limonada","borda tradicional","cogumelos","alho","anchova","pimenta biquinho","cogumelos","massa tradicional","catupiry","ricota"
"191","refrigerante","sabor catupiry","cogumelos","frango","calabresa","pimentão","milho","massa tradicional","mussarela","catupiry"
"192","água com gás","sabor catupiry","cogumelos","bacon","palmito","frango","orégano","massa final","mussarela","cheddar"
"193","vinho tinto","cheddar","bacon","milho","azeitona","alho","calabresa","massa final","mussarela","gorgonzola"
"194","refrigerante","sabor catupiry","calabresa","pepperoni","bacon",NA,NA,"massa tradicional","cheddar","mussarela"
"195","cerveja","cream cheese","cebola","alho-poró","carne seca","tomate","azeite de oliva","massa tradicional","gorgonzola","parmesão"
"196","vinho tinto","borda tradicional","cogumelos","tomate","pimentão","brócolis",NA,"massa final","provolone","gorgonzola"
"197","cerveja","borda tradicional","pimentão","pepperoni","cebola caramelizada","alho","azeitona","massa final","provolone","parmesão"
"198","refrigerante","cheddar","alho","cebola","frango","presunto","salsinha","massa grossa","cheddar","catupiry"
"199","refrigerante","borda tradicional","azeite de oliva","bacon","frango","milho",NA,"massa final","mussarela","provolone"
"200","limonada","borda tradicional","calabresa","tomate","cebola","azeitona","alho","massa tradicional","catupiry","cheddar"
"201","limonada","cream cheese","pepperoni","azeite de oliva","tomate","cebola","queijo coalho grelhado","massa tradicional","provolone","mussarela"
"202","refrigerante","cheddar","presunto","bacon","linguiça","alcaparra","ovo","massa tradicional","catupiry","mussarela"
"203","cerveja","sabor catupiry","grão de bico","cebola","espinafre","linguiça calabresa defumada","pimentão assado","massa tradicional","mussarela","cheddar"
"204","vinho tinto","sabor catupiry","pepperoni","abacaxi","tomate","alho","azeitona","massa tradicional","mussarela","provolone"
"205","suco de laranja","cheddar","camarão","queijo de cabra","presunto","orégano",NA,"massa tradicional","catupiry","parmesão"
"206","cerveja","borda tradicional","brócolis","bacon","ovo","tomate","ervilha","massa tradicional","mussarela","parmesão"
"207","cerveja","borda tradicional","alho","tomate","alho-poró","cebola","alcaparra","massa integral","queijo brie","mussarela"
"208","refrigerante","sabor catupiry","carne seca","cogumelos","bacon","tomate seco","frango","massa final","gorgonzola","mussarela"
"209","vinho tinto","sabor catupiry","pepperoni","tomate","alcaparra","bacon","frango","massa final","mussarela","parmesão"
"210","refrigerante","cream cheese","bacon","queijo gouda","ovo","cebola","pimenta calabresa","massa grossa","mussarela","queijo brie"
"211","suco de laranja","sabor catupiry","azeitona","bacon","frango","picles","alho","massa tradicional","cheddar","catupiry"
"212","cerveja","cream cheese","azeite de oliva","pimentão","tomate","camarão","rúcula","massa final","gorgonzola","provolone"
"213","refrigerante","sabor catupiry","bacon","alho","linguiça","calabresa","queijo cheddar","massa tradicional","mussarela","catupiry"
"214","refrigerante","borda tradicional","cebola","presunto","calabresa","carne seca","ovo","massa tradicional","mussarela",NA
"215","suco de abacaxi","cheddar","carne seca","cebola","bacon","linguiça","salsinha","massa tradicional","mussarela",NA
"216","suco de laranja","borda tradicional","bacon","azeite de oliva","tomate","pepperoni","orégano","massa tradicional","provolone","mussarela"
"217","cerveja","sabor catupiry","brócolis","alho","cogumelos","tomate","milho","massa final","mussarela","catupiry"
"218","cerveja","sabor catupiry","cogumelos","tomate","azeitona","pepperoni","alcaparra","massa tradicional","parmesão","mussarela"
"219","cerveja","sabor catupiry","frango","calabresa","tomate","palmito",NA,"massa tradicional","cheddar","catupiry"
"220","água com gás","sabor catupiry","cogumelos","espinafre","azeite de oliva",NA,NA,"massa final","mussarela","queijo feta"
"221","cerveja","cream cheese","cebola","tomate","calabresa","pepperoni","bacon","massa tradicional","gorgonzola","mussarela"
"222","cerveja","borda tradicional","azeitona","bacon","calabresa","tomate","milho","massa tradicional","mussarela","gorgonzola"
"223","água com gás","cheddar","linguiça calabresa defumada","cebola","linguiça","calabresa","ovo","massa tradicional","gorgonzola","provolone"
"224","refrigerante","cream cheese","pimentão","carne seca","cogumelos","pimenta calabresa","orégano","massa final","mussarela","provolone"
"225","cerveja","sabor catupiry","tomate","alho-poró","cogumelos","azeitona",NA,"massa tradicional","mussarela","gorgonzola"
"226","cerveja","borda tradicional","tomate","pimentão","atum","cogumelos","cebolinha","massa final","mussarela","gorgonzola"
"227",NA,"sabor catupiry","pepperoni","cogumelos","tomate","cebola","alcaparra","massa tradicional","mussarela","queijo brie"
"228","refrigerante","cream cheese","cebola","alho","bacon","milho","calabresa","massa tradicional","mussarela","parmesão"
"229","suco de laranja","cheddar","pepperoni","cebola","tomate","azeitona","bacon","massa tradicional","mussarela","parmesão"
"230","refrigerante","sabor catupiry","presunto","frango","cebola","pimentão","bacon","massa tradicional","catupiry","cheddar"
"231","suco de maracujá","borda tradicional","pepperoni","cogumelos","azeite de oliva","tomate",NA,"massa final","mussarela","parmesão"
"232","refrigerante","sabor catupiry","alho","cogumelos","tomate seco","pepperoni","azeitona","massa tradicional","mussarela","parmesão"
"233","cerveja","sabor catupiry","bacon","cogumelos","brócolis","azeitona","alho","massa final","provolone","mussarela"
"234","cerveja","borda tradicional","bacon","milho","ovo","queijo cheddar","pepperoni","massa final","provolone","ricota"
"235","limonada","borda tradicional","pepperoni","azeitona","bacon",NA,NA,"massa grossa","queijo coalho","parmesão"
"236","refrigerante","sabor catupiry","tomate","azeitona","beterraba","brócolis","bacon","massa tradicional","mussarela","provolone"
"237","chá gelado","borda tradicional","carne moída","cebola","cogumelos","bacon","tomate","massa grossa","gorgonzola","cheddar"
"238","chá gelado","borda tradicional","pepperoni","orégano","calabresa","cebola","cogumelos","massa tradicional","mussarela","parmesão"
"239","chá gelado","sabor catupiry","cogumelos","brócolis","palmito","bacon","milho","massa grossa",NA,"catupiry"
"240","refrigerante","sabor catupiry","cogumelos","bacon","nozes","cebola caramelizada",NA,"massa tradicional","parmesão","cheddar"
"241","limonada","borda tradicional","pepperoni","cebolinha","pimenta calabresa","tomate","alcaparra","massa final","mussarela","gorgonzola"
"242","água com gás","borda tradicional","tomate","alho",NA,NA,NA,"massa tradicional",NA,NA
"243","refrigerante","borda tradicional","tomate","pepperoni","calabresa","orégano",NA,"massa final","provolone","gorgonzola"
"244","suco de laranja","cream cheese","frango","ovo","azeitona","bacon","carne moída","massa tradicional","mussarela","catupiry"
"245","vinho tinto","borda tradicional","tomate","azeitona","pepperoni","brócolis","camarão","massa tradicional","mussarela","provolone"
"246","suco de abacaxi","cream cheese","pepperoni","alho-poró","carne seca","brócolis","palmito","massa tradicional","provolone","mussarela"
"247","refrigerante","borda tradicional","carne seca","alho","brócolis","tomate seco","pimenta biquinho","massa final","catupiry","parmesão"
"248","refrigerante","cream cheese","calabresa","queijo cheddar","orégano",NA,NA,"massa tradicional","mussarela",NA
"249","limonada","borda tradicional","carne seca","cogumelos","frango","bacon","pepperoni","massa tradicional","mussarela","parmesão"
"250","limonada","cream cheese","frango","pepperoni","cebolinha","pimentão","alho-poró","massa tradicional","cheddar","parmesão"
"251","suco de laranja","borda tradicional","frango","calabresa","bacon","carne moída","presunto","massa final","mussarela","parmesão"
"252","refrigerante","borda tradicional","calabresa","frango","bacon","camarão","atum","massa tradicional",NA,NA
"253","água com gás","sabor catupiry","presunto","tomate","azeitona","cebola caramelizada","queijo cheddar","massa tradicional","mussarela","provolone"
"254","suco de laranja","sabor catupiry","bacon","frango","ovo","calabresa",NA,"massa final","mussarela",NA
"255","cerveja","borda tradicional","tomate","pepperoni","cebolinha","cebola caramelizada","azeitona","massa tradicional","mussarela","provolone"
"256","suco de uva","cheddar","pepperoni","calabresa","cogumelos","azeitona","orégano","massa tradicional","parmesão","provolone"
"257","refrigerante","sabor catupiry","frango","azeitona","tomate","cebola",NA,"massa tradicional","mussarela","catupiry"
"258","suco de laranja","borda tradicional","calabresa","cebola","linguiça calabresa defumada","ovo","queijo cheddar","massa tradicional","mussarela","parmesão"
"259","refrigerante","cream cheese","bacon","pepperoni","pimenta biquinho","tomate seco","linguiça calabresa defumada","massa tradicional","mussarela",NA
"260","água com gás","borda tradicional","pepperoni","milho","bacon","orégano","pimenta calabresa","massa final","mussarela","parmesão"
"261","suco de abacaxi","cheddar","alcaparra","frango","bacon","tomate seco","presunto","massa final","queijo coalho","cheddar"
"262","vinho tinto","borda tradicional","pepperoni",NA,NA,NA,NA,"massa final",NA,NA
"263","refrigerante","borda tradicional","cebola","tomate","azeitona","bacon","calabresa","massa tradicional",NA,NA
"264","suco de abacaxi","borda tradicional","tomate","azeite de oliva","calabresa","calabresa","orégano","massa tradicional","mussarela","provolone"
"265","refrigerante","borda tradicional","tomate","cebola","calabresa","azeitona","orégano","massa tradicional","mussarela","parmesão"
"266","água com gás","cheddar","bacon","frango","pimenta biquinho","cebolinha","cebola caramelizada","massa tradicional","queijo brie","gorgonzola"
"267","suco de laranja","sabor catupiry","cebola","cogumelos","tomate","azeitona","brócolis","massa tradicional","gorgonzola","cheddar"
"268","chá gelado","cheddar","tomate","cogumelos","presunto","frango","carne seca","massa tradicional","cheddar","catupiry"
"269","suco de uva","cream cheese","tomate","pepperoni","azeitona","orégano","cebola caramelizada","massa tradicional","mussarela","parmesão"
"270","vinho tinto","borda tradicional","queijo de cabra","queijo roquefort","tofu","calabresa","cebola caramelizada","massa integral","gorgonzola","queijo coalho"
"271","suco de maracujá","cheddar","tomate","cebola","bacon","carne seca","linguiça calabresa defumada","massa grossa","catupiry","mussarela"
"272","chá gelado","cream cheese","pepperoni","bacon","cebola caramelizada","cogumelos","espinafre","massa grossa","gorgonzola","parmesão"
"273","refrigerante","cream cheese","presunto","palmito","bacon","milho","pimentão assado","massa grossa","mussarela","parmesão"
"274","refrigerante","borda tradicional","calabresa","bacon","cebolinha","pimentão","cebola","massa final","mussarela","mussarela"
"275","refrigerante","borda tradicional","alho","linguiça calabresa defumada",NA,"palmito",NA,"massa tradicional","cheddar","mussarela"
"276","água com gás","borda tradicional","rúcula","nozes","azeitona",NA,NA,"massa final","ricota",NA
"277","suco de laranja","sabor catupiry","pepperoni","frango","rúcula","linguiça calabresa defumada","bacon","massa final","gorgonzola","provolone"
"278","cerveja","borda tradicional","pepperoni","cebola","rúcula","azeitona","orégano","massa final","mussarela","parmesão"
"279","chá gelado","borda tradicional","brócolis","cogumelos","alho","azeitona",NA,"massa final","queijo brie","parmesão"
"280","refrigerante","borda tradicional","calabresa","brócolis","frango","tomate","pepperoni","massa final","mussarela","cheddar"
"281","suco de abacaxi","sabor catupiry","cogumelos","azeitona","orégano","pepperoni","cebola","massa tradicional","parmesão","cheddar"
"282","cerveja","sabor catupiry","azeitona","tomate","pimentão","bacon","calabresa","massa tradicional","cheddar","parmesão"
"283","refrigerante","borda tradicional","frango","carne seca","presunto","azeitona","alho-poró","massa grossa","mussarela","provolone"
"284","limonada","borda tradicional","rúcula","cogumelos","palmito","presunto","azeitona","massa tradicional","mussarela",NA
"285","refrigerante","sabor catupiry","azeitona","alho","calabresa","pimenta calabresa","cebola","massa tradicional","mussarela","cheddar"
"286","refrigerante","borda tradicional","cogumelos","milho","bacon","azeitona",NA,"massa tradicional","mussarela","gorgonzola"
"287",NA,"borda tradicional","cebola","pepperoni","orégano",NA,NA,"massa tradicional","mussarela","gorgonzola"
"288","cerveja","borda tradicional","pepperoni","alcaparra","azeite de oliva","brócolis","bacon","massa final","gorgonzola","queijo brie"
